"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",69002,242277.222222222,108590.117647059,0,38466.4674556213,16912,47000,0,41028.9473684211,88804.6190476191,27701.2888283379,16641.0714285714,14775,0,0,0,50148.1481481481,824.090909090909
"COST_CREW",171422.604166667,349192.444444444,136688.764705882,9000,49344.7692307692,12748,239000,0,5526.31578947368,83058.1666666667,30018.8038147139,848.214285714286,9512.5,0,0,0,25061.1111111111,836.515151515152
"COST_FUEL",56587.46875,174450.666666667,50303.6862745098,16500,16202.8579881657,8397.2,76200,0,27084.2105263158,41240.4047619048,18040.5068119891,6991.51785714286,4278.125,0,0,0,16374.0740740741,601.818181818182
"COST_FOOD",10367.625,8976.33333333333,5316.43137254902,1844,4221.2899408284,652.7,17800,0,6081.57894736842,5888.54761904762,3534.88010899183,1887.05357142857,1378.125,0,0,0,3914.81481481481,81.2121212121212
"COST_ICE",346.354166666667,28361.7777777778,10394.9607843137,988,2766.19526627219,716,600,0,823.684210526316,9221.59523809524,991.340599455041,62.5,53.125,0,0,0,1007.40740740741,265.454545454545
"COST_BAIT",18701.0416666667,0,5040.96078431373,0,21380.8343195266,4666.8,18000,0,14436.8421052632,14171.2857142857,17406.6811989101,100,0,0,0,0,12326.4814814815,1648.48484848485
"COST_RMI",21656.9375,156837.222222222,74539.1176470588,0,9328.17159763314,0,0,0,0,26628.9761904762,4722.73841961853,0,0,0,0,0,0,0
"COST_INS",29859.3854166667,69897.3333333333,34337.0784313726,0,9009.02366863905,1656.8,48000,0,12950,30581.8571428571,8966.25068119891,2816.96428571429,1784.375,0,0,0,2966.66666666667,893.569696969697
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",0,0,1115.66666666667,0,0,0,0,0,0,0,11.716621253406,0,0,0,0,0,0,0
"COST_MOORAGE",7701.58333333333,11893.2222222222,5406.56862745098,2675,4246.20710059172,2067.3,13000,0,4278.94736842105,4897.40476190476,3801.94005449591,2834.64285714286,1128.125,0,0,0,2920.74074074074,2127.45454545455
"COST_LANDINGSTAX",5620.04166666667,5103.33333333333,3212.05882352941,1600,2684.51479289941,1817.5,8460,0,3321.05263157895,3369.11904761905,3179.20980926431,1542.85714285714,878.125,0,0,0,3914.81481481481,1225.15151515152
"COST_ENFORCE",3602.11458333333,20268,26582.7843137255,0,618.92899408284,4,0,0,0,361.904761904762,174.553133514986,0,0,0,0,0,14.8148148148148,0
"COST_DUES",2858.125,10479.3333333333,4282.66666666667,125,555.171597633136,58.4,3000,0,865.789473684211,1689.28571428571,600.896457765668,229.017857142857,206.3125,0,0,0,285.185185185185,52.1212121212121
"COST_FREIGHT",899.875,324.444444444444,131.627450980392,0,221.923076923077,104,2800,0,5.26315789473684,750,112.940054495913,140.178571428571,131.25,0,0,0,194.074074074074,75.4545454545455
"COST_OFFLOAD",1047.91666666667,1021.88888888889,2076.07843137255,0,599.325443786982,317.46,0,0,0,1526.57142857143,387.66757493188,251.785714285714,6.25,0,0,0,1051.85185185185,77.5757575757576
"COST_TRUCK",590.625,0,0,0,584.023668639053,452.5,2000,0,105.263157894737,3583.33333333333,672.207084468665,491.071428571429,575,0,0,0,1800,188.484848484848
"COST_OTHER",1241.05208333333,11904.2222222222,3799.76470588235,700,2353.49704142012,1533,2200,0,2236.84210526316,2111.04761904762,985.073569482289,298.214285714286,565.625,0,0,0,1251.85185185185,40.6060606060606
"COST_COMM",3499.6875,9719.33333333333,2189.11764705882,850,1607.8875739645,874.6,4960,0,4726.31578947368,1883.52380952381,992.978201634877,719.464285714286,331.25,0,0,0,1303.7037037037,236.666666666667
"COST_TRAV",1109.77083333333,2674.66666666667,719.686274509804,0,597.059171597633,132,6200,0,552.631578947368,3421.80952380952,494.964577656676,356.25,203.125,0,0,0,370.37037037037,0.606060606060606
"REV",710936.041666667,1538357.33333333,721750.039215686,60666.5,216872.798816568,54263.92,845272,0,232860.447368421,435773.880952381,255960.792915531,40364.4553571429,23937.1875,0,0,0,161654,5572.81818181818
"CREW",3.55069479166667,4,3.06862745098039,0,2.63905325443787,1.88,4.266666,0,2.47368421052632,3.07142857142857,3.18801089918256,1.48214285714286,1.8125,0,0,0,1.97283962962963,1.69393939393939
