"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",110237.8,110466.53,70687.87,0,61547.04,22960.09,44665.42,0,61860.53,82038.55,102793.4,31021.12,36084.61,0,0,0,65551.77,19890.16
"COST_CREW",162566,159277.475,81763.71,6377.042,88820.9,25452.73,240010.416,0,60719.7,217831.8,73982.83,17342.91,29763.094,0,0,0,27364.54,15072.29
"COST_FUEL",62701.21,73980.826,29388.12,7000,14154.73,11140.823,44127.089,0,34937.02,25145.69,20012.25,8755.104,8605.877,0,0,0,13355.92,8585.538
"COST_FOOD",10044.33,10694.508,6233.365,1375.019,5119.925,1150.274,18349.387,0,6372.528,6616.8,5430.444,2315.369,3540.707,0,0,0,4487.393,1895.093
"COST_ICE",1124.353,41718.7715,7610.587,1178.9215,9078.507,1932.468,1341.6408,0,1137.906,14252.07,6283.445,2600.701,136.7465,0,0,0,1555.205,951.6195
"COST_BAIT",23738.29,0,7397.174,0,24508.29,10285.237,15247.951,0,22254.37,14209.05,19500.51,4470.737,0,0,0,0,17338.22,5673.855
"COST_RMI",59028.58,143466.53,85897.69,0,57143.03,0,0,0,0,122923.8,27596.08,0,0,0,0,0,0,0
"COST_INS",26646.93,12177.822,18420.5,2309.401,14630.96,2334.234,14832.397,0,14544.17,30266.55,16652.15,5140.37,4563.043,0,0,0,4327.228,3485.124
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",0,0,3275.856,0,0,0,0,0,0,0,209.0809,0,0,0,0,0,0,0
"COST_MOORAGE",6102.66,6910.772,3239.26,2317.146,4489.382,2459.331,15406.979,0,2398.328,3696.3,3150.921,2035.903,3230.124,0,0,0,1569.679,2584.202
"COST_LANDINGSTAX",7601.114,4766.2949,3094.884,1368.6977,3480.102,1638.5348,4165.093,0,2282.028,2395.216,2929.605,1154.444,664.0464,0,0,0,2549.314,994.522
"COST_ENFORCE",6341.964,22037.2166,19786.16,0,3469.593,28.28427,0,0,0,1320.93,1241.52,0,0,0,0,0,53.37605,15.56998
"COST_DUES",6252.396,7330.5939,6923.98,250,2055.16,145.2072,4015.5946,0,1167.644,2343.895,1682.539,455.0833,566.1662,0,0,0,646.7098,288.5493
"COST_FREIGHT",1987.272,637.6345,529.1867,0,424.243,327.6135,4147.2883,0,1401.83,1545.292,710.7588,401.9008,283.3412,0,0,0,426.2832,293.7675
"COST_OFFLOAD",4091.711,2047.9287,3350.176,0,2100.904,844.26766,0,0,2399.266,2236.737,2861.946,880.3134,35.35534,0,0,0,3933.131,1005.919
"COST_TRUCK",2574.78,0,560.112,400,2516.525,1131.2835,2738.6128,0,583.9971,8681.995,3621.625,1815.874,1507.4011,0,0,0,3620.242,791.3716
"COST_OTHER",5155.577,16767.3147,5998.067,355.9026,5412.785,4606.8672,1890.767,0,3006.877,2864.367,3539.058,1191.745,909.31,0,0,0,1371.796,959.2707
"COST_COMM",4317.901,8006.706,1551.03,754.9834,1735.609,1070.4819,8421.8763,0,8018.246,1899.951,1602.684,1164.312,451.8332,0,0,0,1271.728,765.9528
"COST_TRAV",2792.657,4659.5717,1805.048,0,2388.665,615.9247,8779.2369,0,1490.463,12521.61,2843.664,1427.767,738.9986,0,0,0,1334.401,650.9928
"REV",575984.4,602632.577,432252.4,30146.087,292228.6,41404.91,385100.621,0,245832.6,267618.5,261788.5,39993.81,18710.575,0,0,0,110366,4041.233
"CREW",1.457719,1,0.7463637,0.5,1.008837,0.944155,2.0221,0,1.555059,0.6917466,0.9120918,0.5694242,1.297874,0,0,0,0.6985831,0.8157419
