"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",69105.1616161616,220225.25,122007.119047619,0,36377.7678571429,16912,0,0,41028.9473684211,105786.320754717,27615.1184573003,16641.0714285714,14775,0,0,0,50148.1481481481,536.585365853659
"COST_CREW",170552.323232323,268669.375,159962.642857143,16565.6666666667,46312.3095238095,12748,285000,0,5526.31578947368,117539.547169811,27926.2341597796,848.214285714286,9512.5,0,0,0,25061.1111111111,482.317073170732
"COST_FUEL",69816.7575757576,225805,61302.7857142857,15500,16202.2738095238,8397.2,86250,0,27084.2105263158,53525.8867924528,18336.1680440771,6991.51785714286,4278.125,0,0,0,16374.0740740741,339.634146341463
"COST_FOOD",10711.4141414141,11340.625,6310.64285714286,2130.33333333333,4249.92261904762,652.7,21000,0,6081.57894736842,6404.54716981132,3503.46005509642,1887.05357142857,1378.125,0,0,0,3914.81481481481,56.0975609756098
"COST_ICE",340.40404040404,23448.25,11670.4761904762,1390.16666666667,2714.82142857143,716,0,0,823.684210526316,11252.6037735849,1221.53994490358,62.5,53.125,0,0,0,1007.40740740741,272.560975609756
"COST_BAIT",17701.2626262626,0,7812.97619047619,1716.66666666667,21440.9226190476,4666.8,22500,0,14436.8421052632,15519.9622641509,17505.1212121212,100,0,0,0,0,12326.4814814815,1656.09756097561
"COST_RMI",22714.5151515152,202507.375,78206.3809523809,11166.6666666667,2734.60714285714,0,0,0,0,34443.6603773585,2887.28650137741,0,0,0,0,0,0,0
"COST_INS",30130.2525252525,62115.625,30761.2380952381,6383.33333333333,8562.89285714286,1656.8,47500,0,12950,34121.4716981132,8542.18732782369,2816.96428571429,1784.375,0,0,0,2966.66666666667,758.25
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",0,0,923.833333333333,0,738.291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_MOORAGE",7762.36363636364,8064,5522.47619047619,3883.33333333333,4274.21428571429,2067.3,16000,0,4278.94736842105,5374,3739.96694214876,2834.64285714286,1128.125,0,0,0,2920.74074074074,2091.78048780488
"COST_LANDINGSTAX",5847.52525252525,4289.625,2924.09523809524,900.5,2754.80952380952,1817.5,8650,0,3321.05263157895,3662.92452830189,3057.34986225895,1542.85714285714,878.125,0,0,0,3914.81481481481,1186.28048780488
"COST_ENFORCE",3552.17171717172,16982,25585.1904761905,1253.33333333333,426.339285714286,4,0,0,0,2255.62264150943,230.633608815427,0,0,0,0,0,14.8148148148148,21.3414634146341
"COST_DUES",3493.21212121212,8676.75,3748.28571428571,999.166666666667,478.940476190476,58.4,3500,0,865.789473684211,3271.22641509434,553.578512396694,229.017857142857,206.3125,0,0,0,285.185185185185,52.1341463414634
"COST_FREIGHT",993.373737373737,0,108.095238095238,125,207.142857142857,104,3500,0,5.26315789473684,602.320754716981,125.30303030303,140.178571428571,131.25,0,0,0,194.074074074074,77.7439024390244
"COST_OFFLOAD",908.272727272727,861.5,2683.40476190476,2900.16666666667,503.363095238095,317.46,0,0,0,1732.88679245283,330.090909090909,251.785714285714,6.25,0,0,0,1051.85185185185,78.0487804878049
"COST_TRUCK",572.727272727273,0,695.190476190476,0,587.5,452.5,1250,0,105.263157894737,3298.11320754717,690.479338842975,491.071428571429,575,0,0,0,1800,189.634146341463
"COST_OTHER",949.49494949495,11564.75,2839.61904761905,1070.83333333333,2260.2619047619,1533,2750,0,2236.84210526316,2514.58490566038,893.909090909091,298.214285714286,565.625,0,0,0,1251.85185185185,46.9512195121951
"COST_COMM",4051.78787878788,5241.75,2398.92857142857,1100,1606.46428571429,874.6,5700,0,4726.31578947368,2322.22641509434,936.443526170799,719.464285714286,331.25,0,0,0,1303.7037037037,244.817073170732
"COST_TRAV",1160.16161616162,2763.125,638.238095238095,0,546.904761904762,132,2750,0,552.631578947368,2893.96226415094,503.567493112948,356.25,203.125,0,0,0,370.37037037037,0.609756097560976
"REV",712795.05050505,1384775,799697.023809524,69061.05,205379.714285714,54263.92,992762,0,232860.447368421,581244.113207547,250146.190082645,40364.4553571429,23937.1875,0,0,0,161654,5530.95609756098
"CREW",3.57441111111111,3.875,2.95238095238095,2,2.61904761904762,1.88,5.3333325,0,2.47368421052632,3.18867924528302,3.16804407713499,1.48214285714286,1.8125,0,0,0,1.97283962962963,1.67987804878049
