"Cost","Alaska.Vessel","Pacific.Whiting.Trawler","Large.Groundfish.Trawler","Small.Groundfish.Trawler","Sablefish.Fixed.Gear","Other.Groundfish.Fixed.Gear","Pelagic.Netter","Migratory.Netter","Migratory.Liner","Shrimper","Crabber","Salmon.Troller","Salmon.Netter","Other.Netter","Lobster","Diver","OtherG15","OtherL15"
"COST_CAPTAIN",109516,64529.93,71882.93,0,54799.8,22960.09,0,NA,61860.53,80750.88,105491,30921.97,36084.61,0,NA,NA,65551.77,19692.55
"COST_CREW",167456.5,105620.5,81016.02,18916.78,74015.74,25452.73,250399.7,NA,60719.7,192935.6,90528.2,17276.69,29763.09,0,NA,NA,27364.54,14399.94
"COST_FUEL",67855.75,95028.35,28205.35,7834,14589.12,11140.823,43851.07,NA,34937.02,29004.71,23484.44,8729.597,8605.877,0,NA,NA,13355.92,7988.443
"COST_FOOD",10329.23,10353.31,4805.326,2428.134,5438.722,1150.274,19510.68,NA,6372.528,6228.241,5659.946,2308.187,3540.707,0,NA,NA,4487.393,1877.135
"COST_ICE",1140.139,15499.25,10514.22,3065.3548,9175.629,1932.468,0,NA,1137.906,14369.5,6811.321,2590.376,136.7465,0,NA,NA,1555.205,954.1461
"COST_BAIT",24995.89,0,8418.516,0,23330.33,10285.237,13228.76,NA,22254.37,17888.9,19393.84,4452.436,0,0,NA,NA,17338.22,5690.388
"COST_RMI",99672.95,208816.8,48030.27,0,12970.94,0,0,NA,0,137147.2,28457.48,0,0,0,NA,NA,0,0
"COST_INS",33375.27,34925.02,35329.78,8869.423,16346.9,2334.234,17078.25,NA,14544.17,38434.47,18942.89,5124.227,4563.043,0,NA,NA,4327.228,2782.67
"COST_INT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_PUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COST_LEA",0,0,3363.993,0,5207.162,0,0,NA,0,0,0,0,0,0,NA,NA,0,0
"COST_MOORAGE",6405.765,17790.78,5216.509,2220.173,4689.222,2459.331,16015.62,NA,2398.328,8146.683,3178.624,2026.915,3230.124,0,NA,NA,1569.679,2555.256
"COST_LANDINGSTAX",25839.3,2193.558,3025.616,1053.1698,3518.79,1638.5348,4784.35,NA,2282.028,13149.5,2451.378,1149.374,664.0464,0,NA,NA,2549.314,954.691
"COST_ENFORCE",4320.963,25309.28,18597.9,5265,991.8531,28.28427,0,NA,0,3820.46,1286.413,0,0,0,NA,NA,53.37605,48.11209
"COST_DUES",6463.618,8730.108,3357.465,2020,890.3668,145.2072,4453.463,NA,1167.644,5061.258,2049.379,453.0963,566.1662,0,NA,NA,646.7098,289.3974
"COST_FREIGHT",2039.87,0,914.5818,1000,405.604,327.6135,4434.712,NA,1401.83,1396.3,711.9327,400.3199,283.3412,0,NA,NA,426.2832,294.6076
"COST_OFFLOAD",3960.108,2626.557,8764.127,0,2427.887,844.26766,0,NA,2399.266,3880.671,2557.888,876.6947,35.35534,0,NA,NA,3933.131,1008.793
"COST_TRUCK",2614.178,0,3130.547,0,4102.864,1131.2835,2500,NA,583.9971,8184.113,3638.341,1808.339,1507.4011,0,NA,NA,3620.242,793.6573
"COST_OTHER",5170.559,44523.82,7181.781,699.4045,4845.91,4606.8672,1658.312,NA,3006.877,6512.759,4471.739,1188.129,909.31,0,NA,NA,1371.796,960.1109
"COST_COMM",5231.35,6997.356,2204.672,953.5023,1760.084,1070.4819,9535.198,NA,8018.246,2026.854,1550.359,1160.869,451.8332,0,NA,NA,1271.728,769.4378
"COST_TRAV",2831.463,0,2079.84,1250,2091.659,615.9247,4839.077,NA,1490.463,10825.63,2870.463,1421.774,738.9986,0,NA,NA,1334.401,652.8987
"REV",600125.9,453487,448860.8,32421.17,241992.9,41404.91,229596.7,NA,245832.6,426982,307837,39840.21,18710.575,0,NA,NA,110366,4044.856
"CREW",1.429046,0.9438798,0.7184212,0.5,0.8887147,0.944155,0.6666667,NA,1.555059,0.7064866,0.9407894,0.5687556,1.297874,0,NA,NA,0.6985831,0.7982535
